"codEst";"codParam";"month";"day";"year";"dat"
"28079004";"01";"06";5;2016;6
"28079004";"01";"06";6;2016;6
"28079004";"01";"06";7;2016;6
"28079004";"01";"06";8;2016;6
"28079004";"01";"06";9;2016;6
"28079004";"01";"06";10;2016;6
"28079004";"01";"06";11;2016;6
"28079004";"01";"06";12;2016;6
"28079004";"01";"06";13;2016;6
"28079004";"01";"06";14;2016;7
"28079004";"01";"06";15;2016;7
"28079004";"01";"06";16;2016;6
"28079004";"01";"06";17;2016;6
"28079004";"01";"06";18;2016;6
"28079004";"01";"06";19;2016;6
"28079004";"01";"06";20;2016;6
"28079004";"01";"06";21;2016;6
"28079004";"01";"06";22;2016;6
"28079004";"01";"06";23;2016;6
"28079004";"01";"06";24;2016;6
"28079004";"01";"06";25;2016;6
"28079004";"01";"06";26;2016;6
"28079004";"01";"06";27;2016;6
"28079004";"01";"06";28;2016;7
"28079004";"01";"06";29;2016;6
"28079004";"01";"06";30;2016;6
"28079004";"01";"07";1;2016;7
"28079004";"01";"07";2;2016;7
"28079004";"01";"07";3;2016;7
"28079004";"01";"07";4;2016;6
"28079004";"01";"07";5;2016;7
"28079004";"01";"07";6;2016;6
"28079004";"01";"07";7;2016;6
"28079004";"01";"07";8;2016;6
"28079004";"01";"07";9;2016;6
"28079004";"01";"07";10;2016;5
"28079004";"01";"07";11;2016;6
"28079004";"01";"07";12;2016;6
"28079004";"01";"07";13;2016;5
"28079004";"01";"07";14;2016;5
"28079004";"01";"07";15;2016;6
"28079004";"01";"07";16;2016;6
"28079004";"01";"07";17;2016;5
"28079004";"01";"07";18;2016;6
"28079004";"01";"07";19;2016;5
"28079004";"01";"07";20;2016;6
"28079004";"01";"07";21;2016;7
"28079004";"01";"07";22;2016;6
"28079004";"01";"07";23;2016;6
"28079004";"01";"07";24;2016;6
"28079004";"01";"07";25;2016;6
"28079004";"01";"07";26;2016;6
"28079004";"01";"07";27;2016;6
"28079004";"01";"07";28;2016;6
"28079004";"01";"07";29;2016;6
"28079004";"01";"07";30;2016;6
"28079004";"01";"07";31;2016;6
"28079004";"01";"08";1;2016;6
"28079004";"01";"08";2;2016;5
"28079004";"01";"08";3;2016;6
"28079004";"01";"08";4;2016;6
"28079004";"01";"08";5;2016;6
"28079004";"01";"08";6;2016;6
"28079004";"01";"08";7;2016;6
"28079004";"01";"08";8;2016;6
"28079004";"01";"08";9;2016;6
"28079004";"01";"08";10;2016;6
"28079004";"01";"08";11;2016;6
"28079004";"01";"08";12;2016;6
"28079004";"01";"08";13;2016;6
"28079004";"01";"08";14;2016;6
"28079004";"01";"08";15;2016;6
"28079004";"01";"08";16;2016;7
"28079004";"01";"08";17;2016;7
"28079004";"01";"08";18;2016;7
"28079004";"01";"08";19;2016;6
"28079004";"01";"08";20;2016;6
"28079004";"01";"08";21;2016;6
"28079004";"01";"08";22;2016;6
"28079004";"01";"08";23;2016;6
"28079004";"01";"08";24;2016;6
"28079004";"01";"08";25;2016;6
"28079004";"01";"08";26;2016;6
"28079004";"01";"08";27;2016;6
"28079004";"01";"08";28;2016;6
"28079004";"01";"08";29;2016;7
"28079004";"01";"08";30;2016;6
"28079004";"01";"08";31;2016;6
"28079004";"01";"09";1;2016;6
"28079004";"01";"09";2;2016;6
"28079004";"01";"09";3;2016;6
"28079004";"01";"09";4;2016;6
"28079004";"01";"09";5;2016;6
"28079004";"01";"09";6;2016;6
"28079004";"01";"09";7;2016;8
"28079004";"01";"09";8;2016;7
"28079004";"01";"09";9;2016;8
"28079004";"01";"09";10;2016;7
"28079004";"01";"09";11;2016;6
"28079004";"01";"09";12;2016;7
"28079004";"01";"09";13;2016;8
"28079004";"01";"09";14;2016;5
"28079004";"01";"09";15;2016;3
"28079004";"01";"09";16;2016;3
"28079004";"01";"09";17;2016;2
"28079004";"01";"09";18;2016;2
"28079004";"01";"09";19;2016;2
"28079004";"01";"09";20;2016;4
"28079004";"01";"09";21;2016;4
"28079004";"01";"09";22;2016;4
"28079004";"01";"09";23;2016;3
"28079004";"01";"09";24;2016;2
"28079004";"01";"09";25;2016;3
"28079004";"01";"09";26;2016;4
"28079004";"01";"09";27;2016;4
"28079004";"01";"09";28;2016;4
"28079004";"01";"09";29;2016;5
"28079004";"01";"09";30;2016;4
"28079004";"01";"10";1;2016;2
"28079004";"01";"10";2;2016;2
"28079004";"01";"10";3;2016;4
"28079004";"01";"10";4;2016;6
"28079004";"01";"10";5;2016;6
"28079004";"01";"10";6;2016;5
"28079004";"01";"10";7;2016;3
"28079004";"01";"10";8;2016;2
"28079004";"01";"10";9;2016;3
"28079004";"01";"10";10;2016;6
"28079004";"01";"10";11;2016;7
"28079004";"01";"10";12;2016;7
"28079004";"01";"10";13;2016;8
"28079004";"01";"10";14;2016;8
"28079004";"01";"10";15;2016;5
"28079004";"01";"10";16;2016;4
"28079004";"01";"10";17;2016;5
"28079004";"01";"10";18;2016;5
"28079004";"01";"10";19;2016;6
"28079004";"01";"10";20;2016;2
"28079004";"01";"10";21;2016;4
"28079004";"01";"10";22;2016;4
"28079004";"01";"10";23;2016;3
"28079004";"01";"10";24;2016;3
"28079004";"01";"10";25;2016;2
"28079004";"01";"10";26;2016;4
"28079004";"01";"10";27;2016;3
"28079004";"01";"10";28;2016;3
"28079004";"01";"10";29;2016;3
"28079004";"01";"10";30;2016;4
"28079004";"01";"10";31;2016;5
"28079004";"01";"11";1;2016;4
"28079004";"01";"11";2;2016;3
"28079004";"01";"11";3;2016;3
"28079004";"01";"11";4;2016;3
"28079004";"01";"11";5;2016;3
"28079004";"01";"11";6;2016;4
"28079004";"01";"11";7;2016;6
"28079004";"01";"11";8;2016;5
"28079004";"01";"11";9;2016;5
"28079004";"01";"11";10;2016;5
"28079004";"01";"11";11;2016;6
"28079004";"01";"11";12;2016;5
"28079004";"01";"11";13;2016;3
"28079004";"01";"11";14;2016;3
"28079004";"01";"11";15;2016;4
"28079004";"01";"11";16;2016;4
"28079004";"01";"11";17;2016;5
"28079004";"01";"11";18;2016;4
"28079004";"01";"11";19;2016;3
"28079004";"01";"11";20;2016;3
"28079004";"01";"11";21;2016;4
"28079004";"01";"11";22;2016;4
"28079004";"01";"11";23;2016;5
"28079004";"01";"11";24;2016;7
"28079004";"01";"11";25;2016;9
"28079004";"01";"11";26;2016;7
"28079004";"01";"11";27;2016;7
"28079004";"01";"11";28;2016;9
"28079004";"01";"11";29;2016;10
"28079004";"01";"11";30;2016;10
"28079004";"01";"12";1;2016;9
"28079004";"01";"12";2;2016;5
"28079004";"01";"12";3;2016;8
"28079004";"01";"12";4;2016;7
"28079004";"01";"12";5;2016;8
"28079004";"01";"12";6;2016;7
"28079004";"01";"12";7;2016;9
"28079004";"01";"12";8;2016;12
"28079004";"01";"12";9;2016;9
"28079004";"01";"12";10;2016;5
"28079004";"01";"12";11;2016;4
"28079004";"01";"12";12;2016;4
